feature,gain,weight
is_zero_sales,183442.5,42.0
rolling_mean_14,1139.7860107421875,768.0
rolling_mean_7,748.33984375,965.0
rolling_mean_28,389.053466796875,889.0
rolling_std_28,126.75077819824219,1061.0
item_id,35.327144622802734,1441.0
day_of_week,19.024667739868164,481.0
price_diff,17.700908660888672,17.0
store_id,13.198213577270508,1484.0
price_pct_change,13.03134822845459,18.0
event_name_1,12.471989631652832,719.0
sell_price,11.996591567993164,588.0
is_weekend,11.046780586242676,20.0
rolling_std_7,10.99759292602539,1033.0
wday,10.751321792602539,265.0
price_rel_to_mean,9.363191604614258,965.0
weekday,9.35625171661377,738.0
week,8.017026901245117,1047.0
lag_28,7.783539295196533,601.0
is_national,7.645802974700928,8.0
snap_active,6.967534065246582,87.0
month,6.5554518699646,400.0
year,6.420384883880615,385.0
day_of_month,6.401927947998047,929.0
has_event_1,6.186978816986084,5.0
lag_7,5.664985656738281,588.0
lag_14,5.616219997406006,587.0
quarter,4.979007720947266,9.0
event_type_1,4.896151542663574,69.0
snap_WI,4.857726573944092,77.0
is_cultural,4.640102386474609,5.0
snap_TX,4.370925426483154,71.0
is_sporting,3.651270627975464,3.0
event_name_2,3.5325927734375,1.0
snap_CA,3.329526901245117,18.0
is_religious,2.5582377910614014,3.0
